Trích yếu,ID phòng xử lý
V/v khai thác thông tin trong cơ sở dữ liệu quốc gia về dân cư,2733540
"Báo cáo kết quả thực hiện chủ đề năm 2023 Nâng cao hiệu quả hoạt động công vụ, đẩy mạnh cải cách hành chính và cải thiện môi trường đầu tư; thúc đẩy phát triển kinh tế, đảm bảo an sinh xã hội"" tại Quận 11 Quý I năm 2023""",2733546
Về xin phép cho công chức đi nước ngoài về việc riêng Nguyễn Thành Trung,2733546
"Báo cáo kết quả thực hiện tăng cường quản lý công chức, viên chức quý I năm 2023",2733570
"V/v đánh giá xác định Chỉ số cải cách hành chính của sở, ban, ngành, Ủy ban nhân dân thành phố Thủ Đức, quận, huyện năm 2022 trên địa bàn Thành phố Hồ Chí Minh",2733540
"Về báo cáo kết quả đại hội và xem xét phê duyệt Điều lệ Liên Thể thao Điện tử nhiệm kỳ I (2021-2025), có hs kèm theo",2733552
Về việc ban hành các văn bản chỉ đạo công tác giáo dục QP&AN năm 2022; và tổ chức hội nghị tổng kết QP&AN năm 2021,2733546
Vv đăng ký tham dự lớp bồi dưỡng nghiệp vụ đối ngoại năm 2023,2733546
"V/v thống kê số lượng, chất lượng, đánh giá về năng lực, mức độ thực hiện công việc của đội ngủ công chức thực hiện cải cách hành chính tại đơn vị hiện nay",2733546
Về đẩy nhanh tiến độ giải ngân vốn đầu tư công năm 2022.,2733552
V/v cử viên chức dự tuyển chương trình học bổng thạc sĩ “Phát triển nguồn nhân lực” tại Nhật Bản niên khóa 2022 - 2024,2733546
Về việc thẩm định dự thảo Đề án cơ cấu lại Công ty TNHH một thành viên Công viên cây xanh - TPHCM (kèm hồ sơ giấy),2733552
Về đăng ký tham gia lớp bồi dưỡng văn hóa công vụ năm 2022,2733546
Báo cáo Hoạt động xúc tiến thương mại và đầu tư tháng 4 năm 2023,2733552
"Sơ kết phong trào thi đua yêu nước, công tác thi đua, khen thưởng 6 tháng đầu năm 2022 và phương hướng nhiệm vụ 6 tháng cuối năm 2022",2733522
"V/v báo cáo hoạt động phòng, chống dịch COVID-19 ngày 24/4/2022",2733570
"Kế hoạch Thực hiện công tác quản lý nhà nước về văn thư, lưu trữ và quản lý tài liệu lưu trữ trên địa bàn Quận 4 năm 2022",2733534
"Thư mời V/v công bố và trao quyết định về công tác cán bộ, 8 giờ 15 phút ngày 09/5/2023 (thứ Ba)",2733552
"Về triển khai thực hiện Kết luận số 523-KL/TU ngày 22 tháng 3 năm 2023 của Ban Thường vụ Thành ủy về tổ chức các hoạt động kỷ niệm các ngày lễ lớn và các sự kiện lịch sử, chính trị quan trọng năm 2023 tại Thành phố Hồ Chí Minh",2733522
"Về báo cáo số liệu theo Nghị định số 46/2010/NĐ-CP, Nghị định số 26/2015/NĐ-CP và biên chế xã hội hóa (từ 01/5/2022 đến ngày 31/5/2022)",2733546
Về việc triển khai thực hiện Công văn số 8411-CV/VPTU ngày 30/01/2023 của Văn Phòng Thành ủy,2733552
"A380 Về xin ý kiến xây dựng Kế hoạch triển khai Đề án giáo dục thông minh và học tập suốt đời giai đoạn 2021-2030 và giai đoạn 2021-2025, năm 2023",2733546
Về giải thể Bệnh viện điều trị bệnh nhân Covid-19 trực thuộc Bệnh viện Quân dân y Miền Đông trực thuộc Quân khu 7,2733552
"V/v đề nghị cho phép công chức lãnh đạo đi nước ngoai Vũ Minh Giang, Nguyễn Thị Mỹ Loan",2733546
Về việc kế hoạch số lượng người làm việc năm 2024,2733552
V/v công tác quản lý an toàn thực phẩm tại các chợ đầu mối nông sản thực phẩm Thành phố,2733552
V/v đề xuất duy trì tổ chức Thanh tra Sở Khoa học và Công nghệ,2733552
Vv cử thành viên tham gia Tổ Giúp việc Hội đồng thi tuyển công chức năm 2023,2733546
"Về đăng ký tham dự lớp bồi dưỡng lãnh đạo, quản lý cấp phòng năm 2023",2733546
Danh sách đăng ký tham dự Lớp bồi dưỡng kiến thức quản lý nhà nước Chương trình chuyên viên chính năm 2023,2733546
"Báo cáo Kết quả công tác quý 1/2023 và phương hướng, nhiệm vụ quý 2/2023 ngành Nội vụ của Đài Truyền hình Thành phố Hồ Chí Minh",2733552
Về chuyển công tác đối với bà Vũ Bích Ngọc,2733546
"V/v cấp mới mã số thẻ đối với cán bộ, công chức, viên chức và người lao động",2733546
"Về hồ sơ dự án “Đào tạo chương trình vi tính, Giáo dục STEM và Giáo dục Hướng nghiệp cho trẻ em mồ côi, bị bỏ rơi có hoàn cảnh khó khăn” tại SOS – Làng trẻ em Thành phố Hồ Chí Minh",2733552
V/v thực hiện một số nội dung chỉ đạo của Thường trực Thành ủy tại cuộc họp ngày 22/3/2022,2733552
Về góp ý dự thảo Quy chế mẫu của Thanh tra thuộc UBND thành phố Thủ Đức và các quận - huyện,2733552
