input,label
khai_thác thông_tin trong cơ_sở dữ_liệu quốc_gia về dân_cư,2733540
báo_cáo kết_quả_thực_hiện chủ_đề năm nâng cao hiệu_quả hoạt_động công_vụ đẩy_mạnh cải_cách hành_chính và cải_thiện môi_trường đầu_tư thúc_đẩy phát_triển kinh_tế đảm_bảo_an_sinh xã_hội tại quận quý năm,2733546
về xin phép cho công_chức đi nước_ngoài về việc riêng nguyễn_thành_trung,2733546
báo_cáo kết_quả_thực_hiện tăng_cường quản_lý công_chức viên_chức quý năm,2733570
đánh_giá xác_định chỉ_số cải_cách hành_chính của sở ban ngành ủy_ban nhân_dân thành_phố thủ_đức quận huyện năm trên địa_bàn thành_phố hồ_chí_minh,2733540
về báo_cáo kết_quả đại_hội và xem_xét phê_duyệt điều_lệ liên thể_thao điện_tử nhiệm_kỳ có hs kèm theo,2733552
về việc ban_hành các văn_bản chỉ_đạo công_tác giáo_dục qp an năm và tổ_chức hội_nghị tổng_kết qp an năm,2733546
vv đăng_ký tham_dự lớp bồi_dưỡng nghiệp_vụ đối_ngoại năm,2733546
thống_kê số_lượng chất_lượng đánh_giá về năng_lực mức_độ thực_hiện công_việc của đội ngủ công_chức thực_hiện cải_cách hành_chính tại đơn_vị hiện_nay,2733546
về đẩy nhanh tiến_độ giải_ngân vốn đầu_tư công năm,2733552
cử viên_chức dự_tuyển chương_trình học_bổng thạc_sĩ phát_triển nguồn nhân_lực tại nhật_bản_niên khóa,2733546
về việc thẩm_định dự_thảo đề_án cơ_cấu lại công_ty tnhh thành_viên công_viên cây_xanh tphcm kèm hồ_sơ giấy,2733552
về đăng_ký tham_gia lớp bồi_dưỡng văn_hóa công_vụ năm,2733546
báo_cáo hoạt_động xúc_tiến thương_mại và đầu_tư tháng năm,2733552
sơ_kết phong_trào thi_đua yêu nước công_tác thi_đua khen_thưởng tháng đầu năm và phương_hướng nhiệm_vụ tháng cuối năm,2733522
báo_cáo hoạt_động phòng chống dịch covid ngày,2733570
kế_hoạch thực_hiện công_tác quản_lý nhà_nước về văn_thư lưu_trữ và quản_lý_tài_liệu lưu_trữ trên địa_bàn quận năm,2733534
thư mời công_bố và trao quyết_định về công_tác cán_bộ giờ phút ngày thứ,2733552
về triển_khai thực_hiện kết_luận số kl tu ngày tháng năm của ban thường_vụ thành_ủy về tổ_chức các hoạt_động kỷ_niệm các ngày lễ lớn và các sự_kiện lịch_sử chính_trị quan_trọng năm tại thành_phố hồ_chí_minh,2733522
về báo_cáo số_liệu theo nghị_định số nđ cp nghị_định số nđ cp và biên_chế xã_hội_hóa từ đến ngày,2733546
về việc triển_khai thực_hiện công_văn số cv vptu ngày của văn_phòng thành_ủy,2733552
a380 về xin ý_kiến xây_dựng kế_hoạch triển_khai đề_án giáo_dục thông_minh và học_tập suốt đời giai_đoạn và giai_đoạn năm,2733546
về giải_thể bệnh_viện điều_trị bệnh_nhân covid trực_thuộc bệnh_viện quân_dân miền đông trực_thuộc quân_khu,2733552
đề_nghị cho phép công_chức lãnh_đạo đi nước ngoai vũ_minh_giang nguyễn_thị mỹ_loan,2733546
về việc kế_hoạch số_lượng người làm_việc năm,2733552
công_tác quản_lý an_toàn thực_phẩm tại các chợ đầu_mối nông_sản thực_phẩm thành_phố,2733552
đề_xuất duy_trì tổ_chức thanh_tra sở khoa_học và công_nghệ,2733552
vv cử thành_viên tham_gia tổ giúp_việc hội_đồng thi_tuyển công_chức năm,2733546
về đăng_ký tham_dự lớp bồi_dưỡng lãnh_đạo quản_lý cấp phòng năm,2733546
danh_sách đăng_ký tham_dự lớp bồi_dưỡng kiến_thức quản_lý nhà_nước chương_trình chuyên_viên chính năm,2733546
báo_cáo kết_quả công_tác quý và phương_hướng nhiệm_vụ quý ngành nội_vụ của đài_truyền_hình thành_phố hồ_chí_minh,2733552
về chuyển công_tác đối_với bà vũ_bích_ngọc,2733546
cấp mới mã_số thẻ đối_với cán_bộ công_chức viên_chức và người lao_động,2733546
về hồ_sơ dự_án đào_tạo chương_trình vi_tính giáo_dục stem và giáo_dục hướng_nghiệp cho trẻ_em mồ_côi bị bỏ_rơi có hoàn_cảnh khó_khăn tại sos làng trẻ_em thành_phố hồ_chí_minh,2733552
thực_hiện một_số nội_dung chỉ_đạo của thường_trực thành_ủy tại cuộc họp ngày,2733552
về góp_ý dự_thảo quy_chế mẫu của thanh_tra thuộc ubnd thành_phố thủ_đức và các quận huyện,2733552
