input,label
khai_thác thông_tin trong cơ_sở dữ_liệu quốc_gia dân_cư,2733540
kết_quả_thực_hiện chủ_đề cao hiệu_quả hoạt_động công_vụ đẩy_mạnh cải_cách hành_chính cải_thiện môi_trường đầu_tư thúc_đẩy phát_triển kinh_tế đảm_bảo_an_sinh xã_hội,2733546
xin phép cho công_chức đi nước_ngoài riêng,2733546
kết_quả_thực_hiện tăng_cường quản_lý công_chức viên_chức quý,2733570
đánh_giá xác_định chỉ_số cải_cách hành_chính ban ngành ủy_ban địa_bàn,2733540
kết_quả đại_hội xem_xét phê_duyệt điều_lệ thể_thao điện_tử nhiệm_kỳ có hs kèm theo,2733552
ban_hành văn_bản chỉ_đạo giáo_dục qp an tổ_chức hội_nghị tổng_kết qp an,2733546
đăng_ký tham_dự lớp bồi_dưỡng nghiệp_vụ đối_ngoại,2733546
thống_kê số_lượng chất_lượng đánh_giá năng_lực mức_độ công_việc đội ngủ công_chức cải_cách hành_chính đơn_vị hiện_nay,2733546
đẩy nhanh tiến_độ giải_ngân vốn đầu_tư công,2733552
cử viên_chức dự_tuyển chương_trình học_bổng thạc_sĩ phát_triển nguồn nhân_lực nhật_bản_niên khóa,2733546
thẩm_định dự_thảo đề_án cơ_cấu lại công_ty tnhh thành_viên công_viên cây_xanh tphcm kèm hồ_sơ giấy,2733552
đăng_ký tham_gia lớp bồi_dưỡng văn_hóa công_vụ,2733546
hoạt_động xúc_tiến thương_mại đầu_tư,2733552
sơ_kết phong_trào thi_đua yêu nước thi_đua khen_thưởng đầu phương_hướng nhiệm_vụ cuối,2733522
hoạt_động phòng chống dịch covid,2733570
quản_lý nhà_nước văn_thư lưu_trữ quản_lý_tài_liệu lưu_trữ địa_bàn,2733534
thư mời công_bố trao quyết_định cán_bộ giờ phút thứ,2733552
kết_luận kl tu ban thường_vụ thành_ủy tổ_chức hoạt_động kỷ_niệm lễ lớn sự_kiện lịch_sử chính_trị quan_trọng,2733522
số_liệu theo nghị_định nđ cp nghị_định nđ cp biên_chế xã_hội_hóa từ đến,2733546
công_văn cv vptu,2733552
a380 xin ý_kiến xây_dựng đề_án giáo_dục thông_minh học_tập suốt đời giai_đoạn giai_đoạn,2733546
giải_thể bệnh_viện điều_trị bệnh_nhân trực_thuộc bệnh_viện quân_dân miền trực_thuộc quân_khu,2733552
đề_nghị cho phép công_chức lãnh_đạo đi nước ngoai,2733546
số_lượng người làm_việc,2733552
quản_lý an_toàn thực_phẩm chợ đầu_mối nông_sản thực_phẩm,2733552
đề_xuất duy_trì tổ_chức thanh_tra công_nghệ,2733552
cử thành_viên tham_gia giúp_việc hội_đồng thi_tuyển công_chức,2733546
đăng_ký tham_dự lớp bồi_dưỡng lãnh_đạo quản_lý cấp phòng,2733546
