input,label
khai_thác thông_tin cơ_sở dữ_liệu quốc_gia dân_cư,2733540
báo_cáo kết_quả_thực_hiện chủ_đề nâng hiệu_quả hoạt_động công_vụ đẩy_mạnh cải_cách hành_chính cải_thiện môi_trường đầu_tư thúc_đẩy phát_triển kinh_tế đảm_bảo_an_sinh xã_hội quý,2733546
phép công_chức đi nước_ngoài nguyễn_thành_trung,2733546
báo_cáo kết_quả_thực_hiện tăng_cường quản_lý công_chức viên_chức quý,2733570
xác_định chỉ_số cải_cách hành_chính sở ban ngành ủy_ban nhân_dân thành_phố thủ_đức huyện địa_bàn thành_phố hồ_chí_minh,2733540
báo_cáo kết_quả đại_hội xem_xét phê_duyệt điều_lệ liên thể_thao điện_tử nhiệm_kỳ hs kèm,2733552
ban_hành văn_bản chỉ_đạo công_tác giáo_dục qp an tổ_chức hội_nghị tổng_kết qp an,2733546
vv đăng_ký tham_dự lớp bồi_dưỡng nghiệp_vụ đối_ngoại,2733546
thống_kê số_lượng chất_lượng năng_lực mức_độ công_việc đội ngủ công_chức cải_cách hành_chính,2733546
đẩy tiến_độ giải_ngân vốn đầu_tư công,2733552
cử viên_chức dự_tuyển chương_trình học_bổng thạc_sĩ phát_triển nhân_lực nhật_bản_niên khóa,2733546
thẩm_định dự_thảo đề_án cơ_cấu công_ty tnhh thành_viên công_viên cây_xanh tphcm kèm hồ_sơ giấy,2733552
đăng_ký tham_gia lớp bồi_dưỡng văn_hóa công_vụ,2733546
báo_cáo hoạt_động xúc_tiến thương_mại đầu_tư,2733552
sơ_kết phong_trào thi_đua yêu công_tác thi_đua khen_thưởng đầu phương_hướng nhiệm_vụ,2733522
báo_cáo hoạt_động phòng chống dịch covid,2733570
kế_hoạch công_tác quản_lý nhà_nước văn_thư lưu_trữ quản_lý_tài_liệu lưu_trữ địa_bàn,2733534
thư mời công_bố trao quyết_định công_tác cán_bộ phút,2733552
triển_khai kết_luận kl tu ban thường_vụ thành_ủy tổ_chức hoạt_động kỷ_niệm lễ sự_kiện lịch_sử chính_trị thành_phố hồ_chí_minh,2733522
báo_cáo số_liệu nghị_định nđ cp nghị_định nđ cp biên_chế xã_hội_hóa,2733546
triển_khai công_văn cv vptu văn_phòng thành_ủy,2733552
a380 ý_kiến xây_dựng kế_hoạch triển_khai đề_án giáo_dục thông_minh học_tập suốt đời giai_đoạn giai_đoạn,2733546
giải_thể bệnh_viện điều_trị bệnh_nhân covid trực_thuộc bệnh_viện quân_dân miền đông trực_thuộc quân_khu,2733552
đề_nghị phép công_chức lãnh_đạo đi ngoai vũ_minh_giang nguyễn_thị mỹ_loan,2733546
kế_hoạch số_lượng làm_việc,2733552
công_tác quản_lý an_toàn thực_phẩm chợ đầu_mối nông_sản thực_phẩm thành_phố,2733552
đề_xuất duy_trì tổ_chức thanh_tra sở khoa_học công_nghệ,2733552
vv cử thành_viên tham_gia tổ giúp_việc hội_đồng thi_tuyển công_chức,2733546
đăng_ký tham_dự lớp bồi_dưỡng lãnh_đạo quản_lý phòng,2733546
danh_sách đăng_ký tham_dự lớp bồi_dưỡng kiến_thức quản_lý nhà_nước chương_trình chuyên_viên,2733546
báo_cáo kết_quả công_tác quý phương_hướng nhiệm_vụ quý ngành nội_vụ đài_truyền_hình thành_phố hồ_chí_minh,2733552
công_tác vũ_bích_ngọc,2733546
mã_số thẻ cán_bộ công_chức viên_chức lao_động,2733546
hồ_sơ dự_án đào_tạo chương_trình vi_tính giáo_dục stem giáo_dục hướng_nghiệp trẻ_em mồ_côi bỏ_rơi hoàn_cảnh sos làng trẻ_em thành_phố hồ_chí_minh,2733552
nội_dung chỉ_đạo thường_trực thành_ủy họp,2733552
góp_ý dự_thảo quy_chế mẫu thanh_tra ubnd thành_phố thủ_đức huyện,2733552
điều_chỉnh quyết_định qđ ubnd ubnd thành_phố giao quyền tự_chủ trách_nhiệm tài_chính giai_đoạn sự_nghiệp công_lập trường thpt nguyễn_văn_cừ,2733552
tổ_chức giỗ tổ hiệp_hội ngành tóc làm_đẹp tphcm,2733552
lập danh_sách sự_nghiệp công_lập trực_thuộc đề_xuất công_ty cổ_phần quyết_định qđ ttg thủ_tướng chính_phủ,2733552
hiệp_định thương_mại tự_do việt_nam liên_hiệp vương_quốc bắc len địa_bàn thành_phố hồ_chí_minh,2733546
nâng bậc lương hạn công_chức lê_thị_anh thư phó_chủ_tịch ubnd huyện nhà_bè,2733546
góp_ý hướng_dẫn xây_dựng việc_làm biên_chế công_chức số_lượng làm_việc cơ_quan tổ_chức hành_chính sự_nghiệp công_lập,2733546
kiểm_tra công_tác cải_cách hành_chính kiểm_soát thủ_tục hành_chính địa_bàn huyện,2733540
kiện_toàn ban_công_tác cao_tuổi thành_phố,2733552
đề_nghị khen_thưởng thành_phố,2733522
ủy quyền chủ tài_khoản ủy_viên chuyên_trách chánh văn_phòng ban an_toàn giao_thông thành_phố hồ_chí_minh,2733552
tổ_chức hoạt_động vận_tải phòng chống dịch covid tình_hình lĩnh_vực giao_thông vận_tải,2733570
đăng_ký nhu_cầu tuyển_dụng công_chức viên_chức tb,2733546
tình_hình tài_chính cty_tnhh mtv dvci,2733552
